"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography(nm)","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency(MHz)","Cache_Size(MB)","Type_Of_Cache","TDP(Watts)","Max_Memory_Size(GB)","Max_Memory_Bandwidth(GB/s)","Graphics_Base_Frequency(MHz)","Graphics_Max_Dynamic_Frequency(MHz)","Instruction_Set","Recommended_Customer_Price(USD)"
"Legacy Intel® Pentium® Processor","Desktop","561","End of Interactive Support",2005,90,1,2,3600,1,"L2",115,32,25.6,350,1050,"64-bit",64
"Legacy Intel® Pentium® Processor","Mobile","760","End of Interactive Support",2004,90,1,2,2000,2,"L2",27,32,25.6,350,1050,"32-bit",64
"Legacy Intel® Pentium® Processor","Desktop","551","End of Interactive Support",2005,90,1,2,3400,1,"L2",84,32,25.6,350,1050,"64-bit",64
"Legacy Intel® Pentium® Processor","Desktop","550","End of Interactive Support",2004,90,1,2,3400,1,"L2",84,32,25.6,350,1050,"32-bit",64
"Legacy Intel® Pentium® Processor","Mobile","745A","End of Interactive Support",2004,90,1,2,1800,2,"L2",21,32,25.6,350,1050,"32-bit",64
"Legacy Intel® Pentium® Processor","Desktop","550","End of Interactive Support",2004,90,1,2,3400,1,"L2",115,32,25.6,350,1050,"32-bit",64
"Legacy Intel® Pentium® Processor","Desktop","920","End of Interactive Support",2006,65,2,4,2800,4,"Original",95,32,25.6,350,1050,"64-bit",64
"Legacy Intel® Pentium® Processor","Mobile","745","End of Interactive Support",2004,90,1,2,1800,2,"L2",7.5,32,25.6,350,1050,"32-bit",64
"Legacy Intel® Pentium® Processor","Desktop","541","End of Interactive Support",2004,90,1,2,3200,1,"L2",84,32,25.6,350,1050,"64-bit",64
"Intel® Pentium® Processor 1000 Series","Mobile","A1018","End of Life",2013,22,2,2,2100,1,"SmartCache",35,32,25.6,650,1000,"64-bit",86
"Intel® Pentium® Processor 1000 Series","Mobile","A1020","Launched",2016,22,4,4,2410,2,"L2",10,8,21.3,688,896,"64-bit",86
