"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography(nm)","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency(MHz)","Cache_Size(MB)","Type_Of_Cache","TDP(Watts)","Max_Memory_Size(GB)","Max_Memory_Bandwidth(GB/s)","Graphics_Base_Frequency(MHz)","Graphics_Max_Dynamic_Frequency(MHz)","Instruction_Set","Recommended_Customer_Price(USD)"
"Intel® Xeon® Processor E5 v4 Family","Server","E5-4640V4","Launched",2016,14,12,24,2100,30,"Original",105,1576.96,68,350,1050,"64-bit",2837
"Intel® Xeon® Processor E5 v4 Family","Server","E5-4650V4","Launched",2016,14,14,28,2200,35,"Original",105,1576.96,68,350,1050,"64-bit",3838
"Intel® Xeon® Processor E5 v4 Family","Server","E5-4655V4","Launched",2016,14,8,16,2500,30,"Original",135,1576.96,68,350,1050,"64-bit",4616
"Intel® Xeon® Processor E5 v4 Family","Server","E5-4660V4","Launched",2016,14,16,32,2200,40,"Original",120,1576.96,68,350,1050,"64-bit",4727
"Intel® Xeon® Processor E5 v4 Family","Server","E5-4667V4","Launched",2016,14,18,36,2200,45,"Original",135,1576.96,68,350,1050,"64-bit",5729
"Intel® Xeon® Processor E5 v4 Family","Server","E5-4669V4","Launched",2016,14,22,44,2200,55,"Original",135,1576.96,68,350,1050,"64-bit",7007
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2603V3","Launched",2014,22,6,6,1600,15,"SmartCache",85,768,51,350,1050,"64-bit",215
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2608LV3","Launched",2014,22,6,12,2000,15,"SmartCache",52,768,59,350,1050,"64-bit",441
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2609V3","Launched",2014,22,6,6,1900,15,"SmartCache",85,768,51,350,1050,"64-bit",306
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2618LV3","Launched",2014,22,8,16,2300,20,"SmartCache",75,768,59,350,1050,"64-bit",779
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2620V3","Launched",2014,22,6,12,2400,15,"SmartCache",85,768,59,350,1050,"64-bit",419.5
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2623V3","Launched",2014,22,4,8,3000,10,"SmartCache",105,768,59,350,1050,"64-bit",444
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2628LV3","Launched",2014,22,10,20,2000,25,"SmartCache",75,768,59,350,1050,"64-bit",1364
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2630V3","Launched",2014,22,8,16,2400,20,"SmartCache",85,768,59,350,1050,"64-bit",669
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2630LV3","Launched",2014,22,8,16,1800,20,"SmartCache",55,768,59,350,1050,"64-bit",612
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2637V3","Launched",2014,22,4,8,3500,15,"SmartCache",135,768,68,350,1050,"64-bit",996
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2640V3","Launched",2014,22,8,16,2600,20,"SmartCache",90,768,59,350,1050,"64-bit",941.5
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2643V3","Launched",2014,22,6,12,3400,20,"SmartCache",135,768,68,350,1050,"64-bit",1552
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2650V3","Launched",2014,22,10,20,2300,25,"SmartCache",105,768,68,350,1050,"64-bit",1168.5
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2648LV3","Launched",2014,22,12,24,1800,30,"SmartCache",75,768,68,350,1050,"64-bit",1544
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2650LV3","Launched",2014,22,12,24,1800,30,"SmartCache",65,768,68,350,1050,"64-bit",1329
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2658V3","Launched",2014,22,12,24,2200,30,"SmartCache",105,768,68,350,1050,"64-bit",1832
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2658AV3","Launched",2015,22,12,24,2200,30,"SmartCache",105,768,68,350,1050,"64-bit",1832
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2660V3","Launched",2014,22,10,20,2600,25,"SmartCache",105,768,68,350,1050,"64-bit",1447
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2667V3","Launched",2014,22,8,16,3200,20,"SmartCache",135,768,68,350,1050,"64-bit",2057
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2670V3","Launched",2014,22,12,24,2300,30,"SmartCache",120,768,68,350,1050,"64-bit",1591
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2680V3","Launched",2014,22,12,24,2500,30,"SmartCache",120,768,68,350,1050,"64-bit",1747
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2683V3","Launched",2014,22,14,28,2000,35,"SmartCache",120,768,68,350,1050,"64-bit",1846
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4610V3","Launched",2015,22,10,20,1700,25,"Original",105,768,68,350,1050,"64-bit",1219
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4620V3","Launched",2015,22,10,20,2000,25,"Original",105,768,68,350,1050,"64-bit",1668
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2687WV3","Launched",2014,22,10,20,3100,25,"SmartCache",160,768,68,350,1050,"64-bit",2143
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4627V3","Launched",2015,22,10,10,2600,25,"Original",135,768,68,350,1050,"64-bit",2225
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2690V3","Launched",2014,22,12,24,2600,30,"SmartCache",135,768,68,350,1050,"64-bit",2092
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4640V3","Launched",2015,22,12,24,1900,30,"Original",105,768,68,350,1050,"64-bit",2859
"Intel® Xeon® Processor E5 v3 Family","Server","E5-1680V3","Launched",2014,22,8,16,3200,20,"SmartCache",140,768,68,350,1050,"64-bit",1723
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2695V3","Launched",2014,22,14,28,2300,35,"SmartCache",120,768,68,350,1050,"64-bit",2426
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-4648V3","Launched",2015,22,12,24,1700,30,"Original",105,768,68,350,1050,"64-bit",2405
"Intel® Xeon® Processor E5 v3 Family","Server","E5-1660V3","Launched",2014,22,8,16,3000,20,"SmartCache",140,768,68,350,1050,"64-bit",1080
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4650V3","Launched",2015,22,12,24,2100,30,"Original",105,768,68,350,1050,"64-bit",3838
"Intel® Xeon® Processor E5 v3 Family","Server","E5-1650V3","Launched",2014,22,6,12,3500,15,"SmartCache",140,768,68,350,1050,"64-bit",584.5
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2697V3","Launched",2014,22,14,28,2600,35,"SmartCache",145,768,68,350,1050,"64-bit",2704
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4655V3","Launched",2015,22,6,12,2900,30,"Original",135,768,68,350,1050,"64-bit",4616
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2408LV3","Launched",2015,22,4,8,1800,10,"Original",45,384,51.2,350,1050,"64-bit",256
"Intel® Xeon® Processor E5 v3 Family","Server","E5-1630V3","Launched",2014,22,4,8,3700,10,"SmartCache",140,768,68,350,1050,"64-bit",372
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2698V3","Announced",2014,22,16,32,2300,40,"SmartCache",135,768,68,350,1050,"64-bit",4727
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4660V3","Launched",2015,22,14,28,2100,35,"Original",120,768,68,350,1050,"64-bit",4727
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2418LV3","Launched",2015,22,6,12,2000,15,"Original",50,384,51.2,350,1050,"64-bit",472
"Intel® Xeon® Processor E5 v3 Family","Server","E5-1620V3","Launched",2014,22,4,8,3500,10,"SmartCache",140,768,68,350,1050,"64-bit",295.5
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4667V3","Launched",2015,22,16,32,2000,40,"Original",135,768,68,350,1050,"64-bit",5729
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2428LV3","Launched",2015,22,8,16,1800,20,"Original",55,384,51.2,350,1050,"64-bit",811
"Intel® Xeon® Processor E5 v3 Family","Server","E5-4669V3","Launched",2015,22,18,36,2100,45,"Original",135,768,68,350,1050,"64-bit",7007
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-2438LV3","Launched",2015,22,10,20,1800,25,"Original",70,384,51.2,350,1050,"64-bit",1555
"Intel® Xeon® Processor E5 v3 Family","Embedded","E5-1428LV3","Launched",2015,22,8,16,2000,20,"Original",65,384,51.2,350,1050,"64-bit",608
"Intel® Xeon® Processor E5 v3 Family","Server","E5-2699V3","Announced",2014,22,18,36,2300,45,"SmartCache",145,768,68,350,1050,"64-bit",608
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2690V2","Launched",2013,22,10,20,3000,25,"SmartCache",130,768,59.7,350,1050,"64-bit",2059
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2680V2","Launched",2013,22,10,20,2800,25,"SmartCache",115,768,59.7,350,1050,"64-bit",1725
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2687WV2","Launched",2013,22,8,16,3400,25,"SmartCache",150,256,59.7,350,1050,"64-bit",2110
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2670V2","Launched",2013,22,10,20,2500,25,"SmartCache",115,768,59.7,350,1050,"64-bit",1554
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2667V2","Launched",2013,22,8,16,3300,25,"SmartCache",130,768,59.7,350,1050,"64-bit",2057
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2660V2","Launched",2013,22,10,20,2200,25,"SmartCache",95,768,59.7,350,1050,"64-bit",1391
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2650LV2","Launched",2013,22,10,20,1700,25,"SmartCache",70,768,51.2,350,1050,"64-bit",1219
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-2658V2","Launched",2013,22,10,20,2400,25,"SmartCache",95,768,59.7,350,1050,"64-bit",1750
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2650V2","Launched",2013,22,8,16,2600,20,"SmartCache",95,768,59.7,350,1050,"64-bit",1168.5
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2470V2","Launched",2014,22,10,20,2400,25,"SmartCache",95,384,38.4,350,1050,"64-bit",1440
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-2648LV2","Launched",2013,22,10,20,1900,25,"SmartCache",70,768,59.7,350,1050,"64-bit",1479
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2450LV2","Launched",2014,22,10,20,1700,25,"SmartCache",60,384,38.4,350,1050,"64-bit",1219
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2643V2","Launched",2013,22,6,12,3500,25,"SmartCache",130,768,59.7,350,1050,"64-bit",1552
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2450V2","Launched",2014,22,8,16,2500,20,"SmartCache",95,384,38.4,350,1050,"64-bit",1107
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4657LV2","Launched",2014,22,12,24,2400,30,"SmartCache",115,768,59.7,350,1050,"64-bit",4394
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-2448LV2","Launched",2014,22,10,20,1800,25,"SmartCache",70,384,38.4,350,1050,"64-bit",1424
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2640V2","Launched",2013,22,8,16,2000,20,"SmartCache",95,768,51.2,350,1050,"64-bit",887
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2637V2","Launched",2013,22,4,8,3500,15,"SmartCache",130,768,59.7,350,1050,"64-bit",996
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4650V2","Launched",2014,22,10,20,2400,25,"SmartCache",95,768,59.7,350,1050,"64-bit",3616
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2440V2","Launched",2014,22,8,16,1900,20,"SmartCache",95,384,38.4,350,1050,"64-bit",832
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2630LV2","Launched",2013,22,6,12,2400,15,"SmartCache",60,768,51.2,350,1050,"64-bit",612
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2430LV2","Launched",2014,22,6,12,2400,15,"SmartCache",60,384,38.4,350,1050,"64-bit",612
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4640V2","Launched",2014,22,10,20,2200,20,"SmartCache",95,768,59.7,350,1050,"64-bit",2725
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2630V2","Launched",2013,22,6,12,2600,15,"SmartCache",80,768,51.2,350,1050,"64-bit",614
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2430V2","Launched",2014,22,6,12,2500,15,"SmartCache",80,384,38.4,350,1050,"64-bit",551
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4627V2","Launched",2014,22,8,8,3300,16,"SmartCache",130,768,59.7,350,1050,"64-bit",2108
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-4624LV2","Launched",2014,22,10,20,1900,25,"SmartCache",70,768,59.7,350,1050,"64-bit",2405
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-2628LV2","Launched",2013,22,8,16,1900,20,"SmartCache",70,768,51.2,350,1050,"64-bit",1216
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-2428LV2","Launched",2014,22,8,16,1800,20,"SmartCache",60,384,38.4,350,1050,"64-bit",1013
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2620V2","Launched",2013,22,6,12,2100,15,"SmartCache",80,768,51.2,350,1050,"64-bit",408
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2420V2","Launched",2014,22,6,12,2200,15,"SmartCache",80,384,38.4,350,1050,"64-bit",406
"Intel® Xeon® Processor E5 v2 Family","Server","E5-1660V2","Launched",2013,22,6,12,3700,15,"SmartCache",130,256,59.7,350,1050,"64-bit",1081.5
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4620V2","Launched",2014,22,8,16,2600,20,"SmartCache",95,768,51.2,350,1050,"64-bit",1611
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-2618LV2","Launched",2013,22,6,12,2000,15,"SmartCache",50,768,42.6,350,1050,"64-bit",632
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-2418LV2","Launched",2014,22,6,12,2000,15,"SmartCache",50,384,32,350,1050,"64-bit",607
"Intel® Xeon® Processor E5 v2 Family","Server","E5-1650V2","Launched",2013,22,6,12,3500,12,"SmartCache",130,256,59.7,350,1050,"64-bit",583
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4610V2","Launched",2014,22,8,16,2300,16,"SmartCache",95,768,51.2,350,1050,"64-bit",1219
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4607V2","Launched",2014,22,6,12,2600,15,"SmartCache",95,768,42.6,350,1050,"64-bit",885
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2609V2","Launched",2013,22,4,4,2500,10,"SmartCache",80,768,42.6,350,1050,"64-bit",296.5
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2407V2","Launched",2014,22,4,4,2400,10,"SmartCache",80,384,32,350,1050,"64-bit",250
"Intel® Xeon® Processor E5 v2 Family","Server","E5-1620V2","Launched",2013,22,4,8,3700,10,"SmartCache",130,256,59.7,350,1050,"64-bit",294
"Intel® Xeon® Processor E5 v2 Family","Embedded","E5-1428LV2","Launched",2014,22,6,12,2200,15,"SmartCache",60,384,38.4,350,1050,"64-bit",494
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2603V2","Launched",2013,22,4,4,1800,10,"SmartCache",80,768,42.6,350,1050,"64-bit",202
"Intel® Xeon® Processor E5 v2 Family","Server","E5-2403V2","Launched",2014,22,4,4,1800,10,"SmartCache",80,384,32,350,1050,"64-bit",192
"Intel® Xeon® Processor E5 v2 Family","Server","E5-4603V2","Launched",2014,22,4,8,2200,10,"SmartCache",95,768,42.6,350,1050,"64-bit",551
"Intel® Xeon® Processor E5 Family","Server","E5-2687W","End of Life",2012,32,8,16,3100,20,"SmartCache",150,256,51.2,350,1050,"64-bit",1887.5
"Intel® Xeon® Processor E5 Family","Server","E5-2680","End of Life",2012,32,8,16,2700,20,"SmartCache",130,384,51.2,350,1050,"64-bit",1725
"Intel® Xeon® Processor E5 Family","Server","E5-2670","End of Life",2012,32,8,16,2600,20,"SmartCache",115,384,51.2,350,1050,"64-bit",1554
"Intel® Xeon® Processor E5 Family","Server","E5-2667","End of Life",2012,32,6,12,2900,15,"SmartCache",130,384,51.2,350,1050,"64-bit",1552
"Intel® Xeon® Processor E5 Family","Server","E5-2665","End of Life",2012,32,8,16,2400,20,"SmartCache",115,384,51.2,350,1050,"64-bit",1442
"Intel® Xeon® Processor E5 Family","Server","E5-2660","End of Life",2012,32,8,16,2200,20,"SmartCache",95,384,51.2,350,1050,"64-bit",1331
"Intel® Xeon® Processor E5 Family","Embedded","E5-2658","Launched",2012,32,8,16,2100,20,"SmartCache",95,384,51.2,350,1050,"64-bit",1479
"Intel® Xeon® Processor E5 Family","Server","E5-2650","End of Life",2012,32,8,16,2000,20,"SmartCache",95,384,51.2,350,1050,"64-bit",1109.5
"Intel® Xeon® Processor E5 Family","Embedded","E5-2648L","Launched",2012,32,8,16,1800,20,"SmartCache",70,384,25.6,350,1050,"64-bit",1266
"Intel® Xeon® Processor E5 Family","Server","E5-2650L","End of Life",2012,32,8,16,1800,20,"SmartCache",70,384,51.2,350,1050,"64-bit",1107
"Intel® Xeon® Processor E5 Family","Server","E5-2643","End of Life",2012,32,4,8,3300,10,"SmartCache",130,384,51.2,350,1050,"64-bit",885
"Intel® Xeon® Processor E5 Family","Server","E5-2470","End of Life",2012,32,8,16,2300,20,"SmartCache",95,384,38.4,350,1050,"64-bit",1442
"Intel® Xeon® Processor E5 Family","Server","E5-2450L","End of Life",2012,32,8,16,1800,20,"SmartCache",70,384,38.4,350,1050,"64-bit",1107
"Intel® Xeon® Processor E5 Family","Server","E5-2640","End of Life",2012,32,6,12,2500,15,"SmartCache",95,384,42.6,350,1050,"64-bit",887
"Intel® Xeon® Processor E5 Family","Server","E5-2450","End of Life",2012,32,8,16,2100,20,"SmartCache",95,384,38.4,350,1050,"64-bit",1109.5
"Intel® Xeon® Processor E5 Family","Server","E5-2637","End of Life",2012,32,2,4,3000,5,"SmartCache",80,384,51.2,350,1050,"64-bit",885
"Intel® Xeon® Processor E5 Family","Embedded","E5-2448L","Launched",2012,32,8,16,1800,20,"SmartCache",70,384,25.6,350,1050,"64-bit",1266
"Intel® Xeon® Processor E5 Family","Server"," E5-4650L","End of Life",2012,32,8,16,2600,20,"SmartCache",115,384,51.2,350,1050,"64-bit",3618
"Intel® Xeon® Processor E5 Family","Server","E5-2630L","End of Life",2012,32,6,12,2000,15,"SmartCache",60,384,42.6,350,1050,"64-bit",662
"Intel® Xeon® Processor E5 Family","Server","E5-4650","End of Life",2012,32,8,16,2700,20,"SmartCache",130,384,51.2,350,1050,"64-bit",3618
"Intel® Xeon® Processor E5 Family","Server","E5-2440","End of Life",2012,32,6,12,2400,15,"SmartCache",95,384,32,350,1050,"64-bit",834.5
"Intel® Xeon® Processor E5 Family","Server","E5-2630","End of Life",2012,32,6,12,2300,15,"SmartCache",95,384,42.6,350,1050,"64-bit",614
"Intel® Xeon® Processor E5 Family","Server","E5-1660","End of Life",2012,32,6,12,3300,15,"SmartCache",130,256,51.2,350,1050,"64-bit",1081.5
"Intel® Xeon® Processor E5 Family","Server","E5-2430L","End of Life",2012,32,6,12,2000,15,"SmartCache",60,384,32,350,1050,"64-bit",662
"Intel® Xeon® Processor E5 Family","Server","E5-2430","End of Life",2012,32,6,12,2200,15,"SmartCache",95,384,32,350,1050,"64-bit",536.5
"Intel® Xeon® Processor E5 Family","Server","E5-4640","End of Life",2012,32,8,16,2400,20,"SmartCache",95,384,51.2,350,1050,"64-bit",2727.5
"Intel® Xeon® Processor E5 Family","Embedded","E5-2428L","Launched",2012,32,6,12,1800,15,"SmartCache",60,384,25.6,350,1050,"64-bit",692
"Intel® Xeon® Processor E5 Family","Server","E5-4620","End of Life",2012,32,8,16,2200,16,"SmartCache",95,384,42.6,350,1050,"64-bit",1613.5
"Intel® Xeon® Processor E5 Family","Server","E5-1650","End of Life",2012,32,6,12,3200,12,"SmartCache",130,256,51.2,350,1050,"64-bit",583
"Intel® Xeon® Processor E5 Family","Server","E5-2620","Launched",2012,32,6,12,2000,15,"SmartCache",95,384,42.6,350,1050,"64-bit",385
"Intel® Xeon® Processor E5 Family","Server","E5-2420","End of Life",2012,32,6,12,1900,15,"SmartCache",95,384,32,350,1050,"64-bit",389
"Intel® Xeon® Processor E5 Family","Server","E5-4617","End of Life",2012,32,6,6,2900,15,"SmartCache",130,384,51.2,350,1050,"64-bit",1611
"Intel® Xeon® Processor E5 Family","Server","E5-1428L","End of Life",2012,32,6,12,1800,15,"L3",60,32,32,350,1050,"64-bit",480
"Intel® Xeon® Processor E5 Family","Server","E5-1620","End of Life",2012,32,4,8,3600,10,"SmartCache",130,375,51.2,350,1050,"64-bit",294
"Intel® Xeon® Processor E5 Family","Server","E5-2609","End of Life",2012,32,4,4,2400,10,"SmartCache",80,384,34.1,350,1050,"64-bit",296.5
"Intel® Xeon® Processor E5 Family","Server","E5-4610","End of Life",2012,32,6,12,2400,15,"SmartCache",95,384,42.6,350,1050,"64-bit",1221
"Intel® Xeon® Processor E5 Family","Server","E5-2407","End of Life",2012,32,4,4,2200,10,"SmartCache",80,384,25,350,1050,"64-bit",250.5
"Intel® Xeon® Processor E5 Family","Server","E5-4607","End of Life",2012,32,6,12,2200,12,"SmartCache",95,384,34.1,350,1050,"64-bit",887
"Intel® Xeon® Processor E5 Family","Server","E5-2403","End of Life",2012,32,4,4,1800,10,"SmartCache",80,384,25,350,1050,"64-bit",191.5
"Intel® Xeon® Processor E5 Family","Server","E5-4603","End of Life",2012,32,4,8,2000,10,"SmartCache",95,384,34.1,350,1050,"64-bit",553
"Intel® Xeon® Processor E5 Family","Server","E5-2603","End of Life",2012,32,4,4,1800,10,"SmartCache",80,384,34.1,350,1050,"64-bit",202.5
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1225V6","Launched",2017,14,4,4,3300,8,"Original",73,64,37.5,350,1150,"64-bit",218.5
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1230V6","Launched",2017,14,4,8,3500,8,"Original",72,64,37.5,350,1050,"64-bit",255.5
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1240V6","Launched",2017,14,4,8,3700,8,"Original",72,64,37.5,350,1050,"64-bit",277
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1245V6","Launched",2017,14,4,8,3700,8,"Original",73,64,37.5,350,1150,"64-bit",289
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1270V6","Launched",2017,14,4,8,3800,8,"Original",72,64,37.5,350,1050,"64-bit",333.5
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1275V6","Launched",2017,14,4,8,3800,8,"Original",73,64,37.5,350,1150,"64-bit",339
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1280V6","Launched",2017,14,4,8,3900,8,"Original",72,64,37.5,350,1050,"64-bit",383
"Intel® Xeon® Processor E3 v6 Family","Server","E3-1285V6","Launched",2017,14,4,8,4100,8,"Original",79,64,37.5,350,1150,"64-bit",450
"Intel® Xeon® Processor E3 v6 Family","Embedded","E3-1501LV6","Launched",2017,14,4,4,2100,6,"Original",25,64,34.1,350,1000,"64-bit",433
"Intel® Xeon® Processor E3 v6 Family","Embedded","E3-1501MV6","Launched",2017,14,4,4,2900,6,"Original",45,64,34.1,350,1000,"64-bit",433
"Intel® Xeon® Processor E3 v6 Family","Embedded","E3-1505LV6","Launched",2017,14,4,8,2200,8,"Original",25,64,34.1,350,1000,"64-bit",433
"Intel® Xeon® Processor E3 v6 Family","Mobile","E3-1505MV6","Launched",2017,14,4,8,3000,8,"Original",45,64,34.1,350,1100,"64-bit",434
"Intel® Xeon® Processor E3 v6 Family","Mobile","E3-1535MV6","Launched",2017,14,4,8,3100,8,"Original",45,64,34.1,350,1100,"64-bit",623
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1225V5","Launched",2015,14,4,4,3300,8,"SmartCache",80,64,34.1,400,1150,"64-bit",218.5
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1230V5","Launched",2015,14,4,8,3400,8,"SmartCache",80,64,34.1,350,1050,"64-bit",255.5
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1240V5","Launched",2015,14,4,8,3500,8,"SmartCache",80,64,34.1,350,1050,"64-bit",277
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1235LV5","Launched",2015,14,4,4,2000,8,"SmartCache",25,64,34.1,400,1050,"64-bit",250
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1240LV5","Launched",2015,14,4,8,2100,8,"SmartCache",25,64,34.1,350,1050,"64-bit",278
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1245V5","Launched",2015,14,4,8,3500,8,"SmartCache",80,64,34.1,400,1150,"64-bit",289
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1260LV5","Launched",2015,14,4,8,2900,8,"SmartCache",45,64,34.1,350,1050,"64-bit",294
"Intel® Xeon® Processor E3 v5 Family","Embedded","E3-1268LV5","Launched",2015,14,4,8,2400,8,"SmartCache",35,64,34.1,350,1000,"64-bit",377
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1270V5","Launched",2015,14,4,8,3600,8,"SmartCache",80,64,34.1,350,1050,"64-bit",333.5
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1275V5","Launched",2015,14,4,8,3600,8,"SmartCache",80,64,34.1,400,1150,"64-bit",344.5
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1280V5","Launched",2015,14,4,8,3700,8,"SmartCache",80,64,34.1,350,1050,"64-bit",612
"Intel® Xeon® Processor E3 v5 Family","Mobile","E3-1505MV5","Launched",2015,14,4,8,2800,8,"SmartCache",45,64,34.1,350,1050,"64-bit",434
"Intel® Xeon® Processor E3 v5 Family","Embedded","E3-1505LV5","Launched",2015,14,4,8,2000,8,"SmartCache",25,64,34.1,350,1000,"64-bit",433
"Intel® Xeon® Processor E3 v5 Family","Mobile","E3-1515MV5","Launched",2016,14,4,8,2800,8,"SmartCache",45,64,34.1,350,1000,"64-bit",489
"Intel® Xeon® Processor E3 v5 Family","Mobile","E3-1535MV5","Launched",2015,14,4,8,2900,8,"SmartCache",45,64,34.1,350,1050,"64-bit",623
"Intel® Xeon® Processor E3 v5 Family","Mobile","E3-1545MV5","Launched",2016,14,4,8,2900,8,"SmartCache",45,64,34.1,350,1050,"64-bit",679
"Intel® Xeon® Processor E3 v5 Family","Embedded","E3-1558LV5","Launched",2016,14,4,8,1900,8,"Original",45,64,25.6,650,1000,"64-bit",396
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1565LV5","Launched",2016,14,4,8,2500,8,"Original",35,64,25.6,350,1050,"64-bit",417
"Intel® Xeon® Processor E3 v5 Family","Mobile","E3-1575MV5","Launched",2016,14,4,8,3000,8,"SmartCache",45,64,34.1,350,1100,"64-bit",1207
"Intel® Xeon® Processor E3 v5 Family","Embedded","E3-1578LV5","Launched",2016,14,4,8,2000,8,"Original",45,64,25.6,700,1000,"64-bit",449
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1585LV5","Launched",2016,14,4,8,3000,8,"Original",45,64,25.6,350,1150,"64-bit",445
"Intel® Xeon® Processor E3 v5 Family","Server","E3-1585V5","Launched",2016,14,4,8,3500,8,"Original",65,64,25.6,350,1150,"64-bit",556
"Intel® Xeon® Processor E3 v4 Family","Server","E3-1265LV4","Launched",2015,14,4,8,2300,6,"Original",35,32,29.8,300,1050,"64-bit",417
